武将,主公胜率,忠臣胜率,反贼胜率,内奸胜率,总场次,加权胜率
陈琳,,0%,50%,0%,5,29%
杨修,,100%,33%,,10,56%
兀突骨,33%,0%,88%,0%,19,48%
士燮,67%,25%,57%,0%,15,43%
张宝,,,,,0,
灵雎,,,,,0,
王允,0%,0%,100%,,3,
大乔小乔,,,,,0,
群马超,,,,,0,
蒋干,,,67%,0%,7,53%
文鸯,7%,0%,63%,0%,56,32%
夏侯霸,,,100%,,1,
群赵云,,,67%,,3,
花鬘,41%,37%,85%,0%,138,57%
皇甫嵩,,27%,69%,0%,64,47%
刘琦,,,0%,0%,5,0%
辛宪英,,50%,50%,0%,10,43%
王双,,25%,33%,0%,8,26%
留赞,0%,20%,68%,8%,168,40%
郭照,35%,24%,62%,7%,165,42%
樊玉凤,25%,0%,70%,0%,38,38%
蒲元,29%,33%,64%,0%,208,44%
管辂,0%,100%,67%,0%,11,58%
葛玄,,25%,67%,0%,10,45%
刘辩,23%,0%,67%,0%,70,36%
阮瑀,25%,38%,64%,0%,39,45%
王朗,0%,50%,89%,0%,18,57%
潘淑,0%,33%,69%,,40,49%
杨婉,,25%,50%,0%,11,36%
李傕,0%,27%,77%,0%,31,45%
张济,,,,,0,
樊稠,,,,,0,
郭汜,,,,,0,
张横,,,100%,0%,3,
唐姬,,0%,100%,,2,
梁兴,,0%,29%,,10,19%
段煨,,0%,33%,0%,8,19%
沙摩柯,22%,22%,63%,0%,68,40%
忙牙长,,,,,0,
许贡,,75%,100%,0%,15,79%
张昌蒲,13%,13%,59%,,55,40%
卑弥呼,0%,100%,0%,0%,10,25%
卫温诸葛直,,,,,0,
吕凯,,,,,0,
张恭,,,,,0,
辛毗,,,,,0,
伊籍,,,,,0,
张温,,,,,0,
李肃,,,100%,,1,
邢道荣,,,,,0,
曹性,,11%,58%,0%,25,37%
淳于琼,,71%,55%,,36,61%
潘凤,,,67%,0%,14,53%
牛金,,,100%,,1,
靡芳傅士仁,,,,,0,
张虎,,,,0%,1,
董白,,,,,0,
陆郁生,0%,0%,78%,0%,15,39%
孙鲁育,,,50%,,2,
华歆,,0%,100%,,4,67%
杜夫人,,,100%,,1,
南华老仙,,,,,0,
韩遂,,,,,0,
刘宏,0%,38%,48%,,41,38%
